day,month,year,Temperature,RH,Region,Classes_notfire,FFMCiqrO_Boxcox,ISIiqrO_square,FWIiqrO_square,DMCiqrO_square,DMCiqrO_Boxcox,BUIiqrO_square,BUIiqrO_Boxcox,DCiqrO_square,DCiqrO_Boxcox,WsiqrO_Boxcox
11,7,2012,33,76,0.0,1,22468109.921989262,1.61245154965971,1.4832396974191326,2.8460498941515415,2.7538112664852847,2.8460498941515415,2.6316869683805644,4.324349662087931,3.1687439162743547,7.437860361314793
14,6,2012,30,78,0.0,1,5950505.330441543,1.0,0.6324555320336759,2.1447610589527217,1.8607585579549935,2.0976176963403033,1.7402707163454192,2.792848008753788,2.1704526860129874,9.899631445528765
4,6,2012,25,89,0.0,1,2849455.0534280003,0.0,0.0,1.140175425099138,0.2712256079079925,1.3038404810405297,0.5615784230695307,2.6267851073127395,2.03415122546071,6.997559063759469
16,6,2012,29,87,1.0,1,2849455.0534280003,0.4472135954999579,0.31622776601683794,2.04939015319192,1.7286770577242554,2.0248456731316584,1.6443566081254282,2.8284271247461903,2.198710230945751,7.868349514522584
25,6,2012,31,64,0.0,0,29693905.139970545,2.3874672772626644,2.898275349237888,3.7682887362833544,3.77497724801456,4.277849927241488,4.0168390414293125,7.987490219086343,4.650467859869415,7.868349514522584
1,7,2012,29,68,0.0,1,6338860.460576532,1.0488088481701516,0.6324555320336759,1.5811388300841898,1.03062914337511,1.70293863659264,1.194243171262305,2.932575659723036,2.279638054753167,9.50753816814175
5,9,2012,30,58,1.0,1,9564100.850678414,1.0,0.6324555320336759,2.0,1.659075631556862,1.9748417658131499,1.577293566844088,2.898275349237888,2.2532729524382997,6.546438851805337
31,7,2012,35,64,0.0,0,30415626.11840961,2.6076809620810595,3.96232255123179,5.648008498577175,5.5261617731411725,6.418722614352485,5.655140348411047,12.044708381691938,5.697719502108103,8.70317959049536
27,7,2012,36,48,0.0,0,35192823.94829915,2.949576240750525,3.9115214431215892,4.711687595755898,4.697557529249766,5.422176684690384,4.9395937727700305,10.41633332799983,5.32215003204584,6.997559063759469
1,8,2012,38,52,1.0,1,19401817.121352512,1.4142135623730951,0.8944271909999159,2.0976176963403033,1.7958411834213364,2.0976176963403033,1.7402707163454192,3.24037034920393,2.5046288509600108,7.437860361314793
5,6,2012,32,60,1.0,1,18189946.41164425,1.3416407864998738,0.9486832980505138,2.449489742783178,2.2643182861229554,2.5495097567963922,2.296887618364764,4.1952353926806065,3.098022705127839,7.437860361314793
20,6,2012,30,80,0.0,1,6294783.860484714,0.9486832980505138,0.6324555320336759,1.8439088914585775,1.4333077020723042,2.258317958127243,1.945485312297014,5.205766033928148,3.6065432960118193,8.289879177082225
31,7,2012,37,55,1.0,0,33593641.09768876,2.8809720581775866,3.8078865529319543,5.319774431308154,5.244051842279099,5.319774431308154,4.861900986547872,8.19756061276768,4.715310889942373,7.868349514522584
10,8,2012,39,39,1.0,0,33593641.09768876,2.8635642126552705,3.271085446759225,3.9749213828703582,3.9860684529945623,3.9749213828703582,3.7492257106750375,5.9497899122574065,3.927208997710171,7.868349514522584
25,7,2012,31,65,0.0,0,26409111.380331017,2.1908902300206643,2.701851217221259,3.5355339059327378,3.530195562545407,4.301162633521313,4.036974575150498,9.418067742376884,5.065041434654246,9.108882291053469
13,8,2012,35,34,1.0,0,32050336.25286491,2.7386127875258306,3.24037034920393,4.110960958218893,4.122080987862789,4.183300132670378,3.9345194765248377,6.715653356152326,4.221821287357038,8.289879177082225
20,8,2012,35,68,0.0,0,32050336.25286491,2.9664793948382653,4.09878030638384,5.089204259999788,5.0406811211826135,5.890670590009257,5.284669621572362,11.428035701729321,5.561157502123173,9.50753816814175
22,7,2012,28,79,0.0,1,14812762.281311423,1.3416407864998738,1.6733200530681511,4.049691346263317,4.061104488384803,4.658325879540846,4.337910749702591,8.938679992034618,4.932796374685824,9.108882291053469
7,7,2012,38,43,1.0,0,27337058.348869517,2.0248456731316584,2.280350850198276,3.605551275463989,3.6046505512771843,3.7013511046643495,3.4972458660187162,5.9497899122574065,3.927208997710171,6.997559063759469
16,7,2012,31,83,1.0,0,26671755.364821136,2.16794833886788,2.701851217221259,4.404543109109048,4.408190775465103,4.381780460041329,4.106124417364826,5.75325994545701,3.846152632483902,8.70317959049536
4,6,2012,30,64,1.0,1,20565750.649302874,1.4832396974191326,1.0,2.280350850198276,2.04361941714117,2.3664319132398464,2.0788447288738676,3.924283374069717,2.943054050604646,7.437860361314793
