day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Region,WsiqrO,RainextO,RainiqrO,FFMCiqrO,DMCiqrO,DCiqrO,ISIiqrO,BUIiqrO,FWIiqrO,Classes_notfire,FFMCiqrO_log,FFMCiqrO_reciprocal,FFMCiqrO_square,FFMCiqrO_exponential,FFMCiqrO_Boxcox,ISIiqrO_square,ISIiqrO_exponential,FWIiqrO_square,FWIiqrO_exponential,DMC_log,DMC_reciprocal,DMC_square,DMC_exponential,DMC_Boxcox,BUIiqrO_log,BUIiqrO_reciprocal,BUIiqrO_square,BUIiqrO_exponential,BUIiqrO_Boxcox,DCiqrO_log,DCiqrO_reciprocal,DCiqrO_square,DCiqrO_exponential,DCiqrO_Boxcox,Ws_log,Ws_reciprocal,Ws_square,Ws_exponential,Ws_Boxcox
11,7,2012,33,76,14,0.0,81.1,8.1,18.7,2.6,8.1,2.2,0.0,14.0,0.0,0.0,81.1,8.1,18.7,2.6,8.1,2.2,1,4.395682961121367,0.012330456226880395,9.00555384193554,38.980796766686495,22468109.921989262,1.61245154965971,2.2172319256025204,1.4832396974191326,1.9290888640937633,2.0918640616783932,0.1234567901234568,2.8460498941515415,5.715718730168739,2.587581432382465,2.0918640616783932,0.1234567901234568,2.8460498941515415,5.715718730168739,2.6316869683805644,2.928523523860541,0.053475935828877004,4.324349662087931,11.478047176945159,3.1687439162743547,2.6390573296152584,0.07142857142857142,3.7416573867739413,9.017926605927322,3.601382036258769
14,6,2012,30,78,20,0.5,59.0,4.6,7.8,1.0,4.4,0.4,0.0,20.0,0.5,0.5,59.0,4.6,7.8,1.0,4.4,0.4,1,4.07753744390572,0.01694915254237288,7.681145747868608,29.902672866252633,5950505.330441543,1.0,1.0,0.6324555320336759,0.4659972203002852,1.5260563034950492,0.2173913043478261,2.1447610589527217,3.5669596213216974,1.7797025303989844,1.4816045409242156,0.22727272727272727,2.0976176963403033,3.437245592399874,1.7402707163454192,2.0541237336955462,0.12820512820512822,2.792848008753788,5.538755176230484,2.1704526860129874,2.995732273553991,0.05,4.47213595499958,12.139244620058346,4.273040392336547
4,6,2012,25,89,13,2.5,28.6,1.3,6.9,0.0,1.7,0.0,0.0,13.0,1.9,1.1875,49.46250000000003,1.3,6.9,0.0,1.7,0.0,1,3.9012148067115433,0.02021733636593378,7.032958125852878,25.81646170203233,2849455.0534280003,0.0,0.0,0.0,0.0,0.26236426446749106,0.7692307692307692,1.140175425099138,1.2443793443943703,0.2692486156111154,0.5306282510621704,0.5882352941176471,1.3038404810405297,1.556111699076326,0.5615784230695307,1.9315214116032138,0.14492753623188406,2.6267851073127395,5.0008163861509365,2.03415122546071,2.5649493574615367,0.07692307692307693,3.605551275463989,8.477857782354299,3.4684516870375144
16,6,2012,29,87,15,0.4,47.4,4.2,8.0,0.2,4.1,0.1,1.0,15.0,0.4,0.4,49.46250000000003,4.2,8.0,0.2,4.1,0.1,1,3.9012148067115433,0.02021733636593378,7.032958125852878,25.81646170203233,2849455.0534280003,0.4472135954999579,0.2615320972023661,0.31622776601683794,0.14677992676220694,1.4350845252893227,0.23809523809523808,2.04939015319192,3.3065447800404715,1.6579922612294844,1.410986973710262,0.24390243902439027,2.0248456731316584,3.240807341021617,1.6443566081254282,2.0794415416798357,0.125,2.8284271247461903,5.656854249492381,2.198710230945751,2.70805020110221,0.06666666666666667,3.872983346207417,9.55159829209756,3.72714146444336
25,6,2012,31,64,15,0.0,86.7,14.2,63.8,5.7,18.3,8.4,0.0,15.0,0.0,0.0,86.7,14.2,63.8,5.7,18.3,8.4,0,4.462453883786496,0.011534025374855825,9.311283477587825,41.21126205378928,29693905.139970545,2.3874672772626644,4.264770967504122,2.898275349237888,5.891593012023373,2.653241964607215,0.07042253521126761,3.7682887362833544,9.125155774546412,3.4830495657128444,2.9069010598473755,0.0546448087431694,4.277849927241488,11.273079630616097,4.0168390414293125,4.155753190350744,0.015673981191222573,7.987490219086343,31.916644938859836,4.650467859869415,2.70805020110221,0.06666666666666667,3.872983346207417,9.55159829209756,3.72714146444336
1,7,2012,29,68,19,1.0,59.9,2.5,8.6,1.1,2.9,0.4,0.0,19.0,1.0,1.0,59.9,2.5,8.6,1.1,2.9,0.4,1,4.092676505121403,0.01669449081803005,7.739509028355739,30.282311230355273,6338860.460576532,1.0488088481701516,1.0826645188807436,0.6324555320336759,0.4659972203002852,0.9162907318741551,0.4,1.5811388300841898,2.145935547331393,1.0040097855762256,1.0647107369924282,0.3448275862068966,1.70293863659264,2.4284639727169712,1.194243171262305,2.151762203259462,0.11627906976744186,2.932575659723036,6.0082598811862065,2.279638054753167,2.9444389791664403,0.05263157894736842,4.358898943540674,11.631293127556278,4.173106328070799
5,9,2012,30,58,12,4.1,66.1,4.0,8.4,1.0,3.9,0.4,1.0,12.0,1.9,1.1875,66.1,4.0,8.4,1.0,3.9,0.4,1,4.191168746857641,0.015128593040847203,8.130190649671137,32.87263742056613,9564100.850678414,1.0,1.0,0.6324555320336759,0.4659972203002852,1.3862943611198906,0.25,2.0,3.174802103936399,1.593607648828015,1.3609765531356006,0.25641025641025644,1.9748417658131499,3.108521240097905,1.577293566844088,2.128231705849268,0.11904761904761904,2.898275349237888,5.891593012023373,2.2532729524382997,2.4849066497880004,0.08333333333333333,3.4641016151377544,7.930812913000377,3.3273392694103783
31,7,2012,35,64,17,0.0,87.2,31.9,145.7,6.8,41.2,15.7,0.0,17.0,0.0,0.0,87.2,31.9,145.07500000000002,6.8,41.2,15.7,0,4.468204330914934,0.01146788990825688,9.338094023943002,41.40922197711006,30415626.11840961,2.6076809620810595,4.940346696187564,3.96232255123179,9.921630376828077,3.462606009790799,0.031347962382445145,5.648008498577175,17.912611326617796,4.961119796302655,3.7184382563554808,0.024271844660194174,6.418722614352485,22.169080481399284,5.655140348411047,4.977250850076672,0.0068929863863518865,12.044708381691938,63.288841989878506,5.697719502108103,2.833213344056216,0.058823529411764705,4.123105625617661,10.601665591490098,3.960320792728382
27,7,2012,36,48,13,0.0,90.3,22.2,108.5,8.7,29.4,15.3,0.0,13.0,0.0,0.0,90.3,22.2,108.5,8.7,29.4,15.3,0,4.5031374604229395,0.01107419712070875,9.50263121456368,42.63240097110656,35192823.94829915,2.949576240750525,6.066423292872361,3.9115214431215892,9.710528316331436,3.100092288878234,0.04504504504504505,4.711687595755898,13.24222040471739,4.269947952629787,3.380994674344636,0.034013605442176874,5.422176684690384,16.734886659091558,4.9395937727700305,4.686750172980514,0.009216589861751152,10.41633332799983,49.68112807297946,5.32215003204584,2.5649493574615367,0.07692307692307693,3.605551275463989,8.477857782354299,3.4684516870375144
1,8,2012,38,52,14,0.0,78.3,4.4,10.5,2.0,4.4,0.8,1.0,14.0,0.0,0.0,78.3,4.4,10.5,2.0,4.4,0.8,1,4.360547602996758,0.01277139208173691,8.848728722251575,37.856006865867194,19401817.121352512,1.4142135623730951,1.7817974362806785,0.8944271909999159,0.8303126524449708,1.4816045409242156,0.22727272727272727,2.0976176963403033,3.437245592399874,1.7199589679592044,1.4816045409242156,0.22727272727272727,2.0976176963403033,3.437245592399874,1.7402707163454192,2.3513752571634776,0.09523809523809523,3.24037034920393,7.095631982331908,2.5046288509600108,2.6390573296152584,0.07142857142857142,3.7416573867739413,9.017926605927322,3.601382036258769
